fips,year,srf_strict_count,srf_strict_amount,srf_incl_count,srf_incl_amount,srf_strict_amount_real,srf_incl_amount_real
3949840,2022,1.0,2634905.93,1,2634905.93,2170612.019111953,2170612.019111953
3949840,2023,1.0,56975857.0,1,56975857.0,46092123.80574859,46092123.80574859
3961000,2024,1.0,1750000.0,1,1750000.0,1382688.7370126022,1382688.7370126022
3974118,2023,1.0,3148286.66,1,3148286.66,2546889.6151699256,2546889.6151699256
3977000,2023,1.0,18500000.0,1,18500000.0,14966063.439929457,14966063.439929457
3977000,2025,2.0,59473000.0,2,59473000.0,45919068.53926512,45919068.53926512
3988000,2025,1.0,4753539.02,1,4753539.02,3670204.6989970426,3670204.6989970426
4023200,2021,,,1,12730000.0,,11314750.951043483
4023200,2024,,,1,30000000.0,,23703235.49164461
4041850,2021,,,1,47000000.0,,41774807.124826685
4041850,2022,,,1,72900000.0,,60054370.21171431
4041850,2023,,,1,30000000.0,,24269292.064750474
4041850,2024,,,1,25000000.0,,19752696.243037175
4041850,2025,,,1,39000000.0,,30111877.205308955
4048350,2024,,,1,2252000.0,,1779322.8775727886
4052500,2022,,,1,15000000.0,,12356866.298706649
4052500,2023,,,1,830000.0,,671450.4137914297
4052500,2024,,,1,5000000.0,,3950539.248607435
4055000,2021,,,1,55000000.0,,48885412.59288229
4055000,2022,,,1,104113000.0,,85767361.39714968
4055000,2023,,,1,53938500.0,,43634973.667818114
4055000,2024,,,1,370000.0,,292339.90439695015
4075000,2010,,,1,27757000.0,,31443783.630699515
4075000,2011,,,1,23480000.0,,25761715.10702961
4075000,2014,,,1,2910000.0,,2964819.5127915153
4105800,2016,1.0,7895000.0,1,7895000.0,8059165.19502261,8059165.19502261
4105800,2019,2.0,10620000.0,2,10620000.0,10169199.390997099,10169199.390997099
4105800,2021,5.0,43600200.0,5,43600200.0,38752977.56603975,38752977.56603975
4105800,2022,4.0,7850000.0,4,7850000.0,6466760.029656479,6466760.029656479
4105800,2023,3.0,12677315.0,3,12677315.0,10255648.677728072,10255648.677728072
4105800,2024,2.0,3847740.0,2,3847740.0,3040129.5776873543,3040129.5776873543
