fips,geo_name,state_abb,year,cwns_needs_real,cwns_flow_interp,cwns_facilities_interp,cwns_source
1236950,kissimmee,FL,2023,116093951.36926092,14.0,2.0,2022
1236950,kissimmee,FL,2024,116093951.36926092,14.0,2.0,2022
1236950,kissimmee,FL,2025,116093951.36926092,14.0,2.0,2022
1238250,lakeland,FL,2012,376124707.45884067,21.7,2.0,2012
1238250,lakeland,FL,2013,377206477.33153856,21.7,2.0,interpolated
1238250,lakeland,FL,2014,378288247.2042365,21.7,2.0,interpolated
1238250,lakeland,FL,2015,379370017.07693446,21.7,2.0,interpolated
1238250,lakeland,FL,2016,380451786.94963235,21.7,2.0,interpolated
1238250,lakeland,FL,2017,381533556.82233024,21.7,2.0,interpolated
1238250,lakeland,FL,2018,382615326.6950282,21.7,2.0,interpolated
1238250,lakeland,FL,2019,383697096.5677261,21.7,2.0,interpolated
1238250,lakeland,FL,2020,384778866.440424,21.7,2.0,interpolated
1238250,lakeland,FL,2021,385860636.3131219,21.7,2.0,interpolated
1238250,lakeland,FL,2022,386942406.18581986,21.7,2.0,2022
1238250,lakeland,FL,2023,386942406.18581986,21.7,2.0,2022
1238250,lakeland,FL,2024,386942406.18581986,21.7,2.0,2022
1238250,lakeland,FL,2025,386942406.18581986,21.7,2.0,2022
1239425,largo,FL,2012,92378489.76614459,13.0,1.0,2012
1239425,largo,FL,2013,85824912.40788634,15.3,1.1,interpolated
1239425,largo,FL,2014,79271335.04962808,17.6,1.2,interpolated
1239425,largo,FL,2015,72717757.69136983,19.9,1.3,interpolated
1239425,largo,FL,2016,66164180.33311157,22.200000000000003,1.4,interpolated
1239425,largo,FL,2017,59610602.97485332,24.5,1.5,interpolated
1239425,largo,FL,2018,53057025.61659507,26.799999999999997,1.6,interpolated
1239425,largo,FL,2019,46503448.25833682,29.099999999999998,1.7,interpolated
1239425,largo,FL,2020,39949870.90007856,31.400000000000002,1.8,interpolated
1239425,largo,FL,2021,33396293.54182031,33.7,1.9,interpolated
1239425,largo,FL,2022,26842716.183562055,36.0,2.0,2022
1239425,largo,FL,2023,26842716.183562055,36.0,2.0,2022
1239425,largo,FL,2024,26842716.183562055,36.0,2.0,2022
1239425,largo,FL,2025,26842716.183562055,36.0,2.0,2022
1239550,lauderhill,FL,2012,7677120.736616792,,,2012
1239550,lauderhill,FL,2013,9859946.470678695,0.0,1.0,interpolated
1239550,lauderhill,FL,2014,12042772.204740595,0.0,1.0,interpolated
1239550,lauderhill,FL,2015,14225597.938802496,0.0,1.0,interpolated
