state_abb,year,gdp_m
MA,1997,236435.6
MA,1998,247686.8
MA,1999,262868.8
MA,2000,287091.4
MA,2001,294876.4
MA,2002,299915.8
MA,2003,309736.1
MA,2004,324919.0
MA,2005,340637.8
MA,2006,358418.3
MA,2007,377985.6
MA,2008,387923.4
MA,2009,388963.9
MA,2010,409270.0
MA,2011,423684.9
MA,2012,441373.9
MA,2013,452580.4
MA,2014,469824.9
MA,2015,497767.0
MA,2016,514108.0
MA,2017,530129.4
MA,2018,559605.0
MA,2019,588069.5
MA,2020,592855.5
MA,2021,650308.8
MA,2022,696323.1
MA,2023,737867.4
MA,2024,778523.4
MI,1997,299832.7
MI,1998,311088.2
MI,1999,337150.2
MI,2000,351879.5
MI,2001,349127.5
MI,2002,363372.1
MI,2003,376123.8
MI,2004,388764.6
MI,2005,402828.8
MI,2006,402537.3
MI,2007,410613.0
MI,2008,391633.6
MI,2009,371707.0
MI,2010,393179.6
MI,2011,408354.1
MI,2012,426141.1
MI,2013,441470.8
MI,2014,456123.5
MI,2015,479222.7
MI,2016,494752.5
MI,2017,505101.5
MI,2018,525240.8
MI,2019,540237.3
MI,2020,530161.3
MI,2021,573329.4
MI,2022,624173.2
MI,2023,676030.8
MI,2024,702466.9
MN,1997,157345.9
MN,1998,167867.4
MN,1999,176780.4
MN,2000,192389.5
MN,2001,196869.4
MN,2002,204061.1
MN,2003,215975.1
MN,2004,231949.4
MN,2005,244635.4
MN,2006,252357.6
MN,2007,261250.7
MN,2008,268771.5
MN,2009,262628.8
MN,2010,274649.2
MN,2011,287070.8
MN,2012,298641.4
MN,2013,311752.1
MN,2014,324701.5
MN,2015,336762.0
MN,2016,345248.8
MN,2017,354721.9
MN,2018,372439.2
MN,2019,384850.2
MN,2020,378969.4
MN,2021,416141.9
MN,2022,457393.8
MN,2023,483222.0
MN,2024,507687.8
MS,1997,58517.2
MS,1998,61332.3
MS,1999,64276.5
MS,2000,66051.5
MS,2001,67750.2
MS,2002,69704.9
MS,2003,74418.4
MS,2004,78680.1
MS,2005,82991.6
MS,2006,87596.7
MS,2007,91876.5
MS,2008,95179.3
MS,2009,92378.0
MS,2010,94788.3
MS,2011,96799.1
MS,2012,100905.4
MS,2013,103042.6
MS,2014,105219.5
MS,2015,106623.9
MS,2016,107795.4
MS,2017,110281.4
MS,2018,113166.4
MS,2019,116135.7
MS,2020,117441.6
MS,2021,130404.6
MS,2022,141724.2
MS,2023,151511.9
MS,2024,158192.4
MO,1997,163101.1
MO,1998,170122.2
MO,1999,178215.9
MO,2000,187012.8
MO,2001,190388.7
MO,2002,197399.0
MO,2003,206005.2
MO,2004,216977.5
MO,2005,227594.6
MO,2006,235816.9
MO,2007,244085.3
MO,2008,256431.1
MO,2009,254306.2
MO,2010,262013.4
MO,2011,263330.0
MO,2012,272482.4
MO,2013,282659.7
MO,2014,289340.7
MO,2015,299597.7
MO,2016,304143.3
MO,2017,311273.8
MO,2018,320451.6
MO,2019,334750.2
MO,2020,335970.8
MO,2021,366193.1
MO,2022,397536.9
MO,2023,428887.3
MO,2024,448713.7
MT,1997,19301.7
MT,1998,20414.4
MT,1999,20815.1
MT,2000,21935.4
MT,2001,22798.0
MT,2002,23886.0
MT,2003,25781.1
MT,2004,28138.8
MT,2005,30823.7
MT,2006,33088.0
MT,2007,36116.1
MT,2008,37028.0
MT,2009,35880.0
MT,2010,38080.3
MT,2011,40592.3
MT,2012,42150.2
MT,2013,43584.0
MT,2014,45203.8
MT,2015,46542.4
MT,2016,45859.4
MT,2017,48470.5
MT,2018,51152.1
MT,2019,52715.6
MT,2020,53057.3
MT,2021,60314.8
MT,2022,69087.8
MT,2023,74690.3
MT,2024,78441.0
NE,1997,49880.0
NE,1998,51849.9
NE,1999,53714.2
NE,2000,56582.7
NE,2001,59634.3
