fips,geo_name,state_abb,facility_count_2022,total_needs_2022,design_flow_2022,tier0_needs,tier1_needs,tier2_needs,tier3_needs
3731400,high point,NC,2.0,160978784.77761135,52.0,82195980.0,12274314.0,33409259.52461862,33099231.252992716
3734200,jacksonville,NC,1.0,201500071.70615664,1.0,51539288.0,16260360.0,105523090.0,28177333.706156638
3735200,kannapolis,NC,1.0,68316592.68229021,0.0,31964660.0,985770.0,15406404.517894497,19959758.164395716
3755000,raleigh,NC,1.0,341735017.6242734,0.0,74989583.0,,180458203.95504442,86287230.669229
3757500,rocky mount,NC,1.0,65246817.124380365,0.0,0.0,25079832.0,14367901.0,25799084.12438037
3774440,wilmington,NC,1.0,780874863.0272235,48.0,236784129.0,10241669.0,504163997.0,29685068.027223513
3775000,winston-salem,NC,1.0,168867504.808695,0.0,23521511.0,,68217821.0,77128172.80869499
3807200,bismarck,ND,,525014115.40562314,,,9467475.0,12212283.0,503334357.40562314
3825700,fargo,ND,1.0,849129200.5943769,0.0,39171382.0,48254208.0,24025418.0,737678192.5943769
3901000,akron,OH,1.0,579672708.8633226,310.0,334339479.0,,121312592.60091187,124020637.26241072
3912000,canton,OH,2.0,337326941.8127631,78.0,73022625.0,,211225366.0,53078950.8127631
3915000,cincinnati,OH,3.0,1300933309.3997025,1183.6,1047499773.0,52923723.0,44485834.0,156023979.39970246
3916000,cleveland,OH,3.0,1649068379.0246372,1290.0,1219114182.0,,274288563.09652126,155665633.92811587
3918000,columbus,OH,7.0,4409130210.612971,897.7740000000001,3517087167.0,377900911.0,72138867.0,442003265.612971
3919778,cuyahoga falls,OH,2.0,108678217.85748062,0.0,6492900.0,,50528686.39908813,51656631.45839248
3921000,dayton,OH,2.0,652445906.4215204,334.0,536934648.0,,3747880.3004240612,111763378.12109622
3925256,elyria,OH,1.0,325973464.39954734,26.0,234353886.0,,50472063.15212972,41147515.24741766
3940040,kettering,OH,1.0,140196064.8051151,86.0,101462630.0,,1256745.699575939,37476689.10553916
